ma,ten,dvt,don_gia_moi
000,Co g,Cái,29370
000Y,Y,Cái,88236
2,Y,Bộ,0
300SOLAHART,Máy NLMT Solahart 300 lít super shied,Bộ,46288000
a,bb,Cái,50877
b,bbbb,Mét,7726
b-3,Tê,Cái,42020
BANCAU1KHOI959VAN,Bàn cầu 1 khối Inax AC-959 VAN,Bộ,5500000
BANCAU2KHOI108VA,Bàn cầu 2 khối Inax C-108VA,Bộ,2010000
BANCAU2KHOI306VA,Bàn cầu 2 khối Inax C-306VA,Bộ,2550000
BANCAU2KHOI504VAN,Bàn cầu 2 khối Inax C-504 VAN,Bộ,2644000
BANCAU2KHOI700VAN,Bàn cầu 2 khối Inax AC-700 VAN,Bộ,3545000
bangkeobac,Băng keo bạc,Cuộn,6600
BANGKEODIEN,Băng keo điện Nanoco,Cuộn,2839
BANGKEOTRONG,Bao Keo trong,Cuộn,24671
BAOON25,Bảo ôn giữ nhiệt 25,Mét,15282
BATDOONG,Bát đỡ ống giàn CN,Cái,700000
BATNHOM,Bát Nhôm 20 ống,Cái,0
BCN1000LIT,Bồn Công nghiệp 1000 Lít 58 SLK03,Bộ,11957860
BCN1500L,Bồn Công Nghiệp 1500 Lít  58,Bộ,9448260
BCN2000,Bồn Công nghiệp 2000 Lít 58 SLK03,Bộ,129500000
BCN200LIT,Bồn Công nghiệp 200 Lít 58 SLK03,Bộ,25300000
BCN300LIT,Bồn Công nghiệp 300 Lít 58 SLK03,Bộ,22500000
BCN500LIT,Bồn công nghiệp 500 Lít 58,Bộ,9128267
BDOD25,Bát đỡ ống  phi 25,Cái,0
BINHBAOON30D5803,Bình bảo ốn 30  58 SLK03,Bình,0
BITRODIEN58,Nút bịt trợ điện 58,Cái,0
BKD,Băng keo đen,Cuộn,2604
BL10.000ĐS,Bồn lạnh  Inox Solarkyo 10.000 lít đứng,Bộ,0
BL10.000NS,Bồn lạnh Inox Solarkyo 10.000 lít  ngang,Bộ,0
BL1000ĐQUOCCHUNG,Bồn lạnh Inox - 1000 lít đứng,Bộ,2606000
BL1000ĐS,Bồn lạnh  Inox Solarkyo 1.000 lít đứng,Bộ,817071
BL1000NS,Bồn lạnh  Inox Solarkyo  1000 lít ngang,Bộ,2426080
BL1000NSDRA60,Bồn lạnh  Inox Solarkyo  1000 lít ngang - Đầu ra 60,Bộ,0
BL1000NTACHI,Bồn lạnh  Inox TACHI 1000 lít ngang,Bộ,0
BL1500ĐS,Bồn lạnh Inox Solarkyo 1.500 lít đứng,Bộ,4169334
BL1500ĐTACHI,Bồn lạnh  Inox TACHI 1500 lít đứng,Bộ,3600000
BL1500LNTM,Bồn lạnh 1500 Lít ngang,Bộ,0
BL1500NS,Bồn lạnh   Inox Solarkyo 1.500 lít ngang,Bộ,3604091
